A,45,0
B,90,0
C,135,0
D,180,0
E,0,135
F,0,90
G,0,45
H,90,0
I,45,180
J,180,90
K,45,180
L,45,135
M,45,90
N,45,45
O,90,180
P,90,180
Q,90,135
R,90,90
S,90,45
T,135,180
U,135,135
V,180,45
W,180,90
X,180,45
Y,135,90
Z,0,90
 ,0,0
space,0,0
error_up,135,135
error_down,45,45
cancel,135,45
